rank,model_id,family,params,pu_auc,fold_auc_mean,fold_auc_std,n_bags,precision_at_5,lift_at_5,gains_at_5,precision_at_10,lift_at_10,gains_at_10,precision_at_20,lift_at_20,gains_at_20
1,LOGIT_C0.3,LogisticRegression,"{""C"": 0.3}",0.8023819415593407,0.805425312308849,0.05887151721762998,15,0.7777777777777778,1.5197956577266925,0.08045977011494253,0.8823529411764706,1.7241379310344829,0.1724137931034483,0.9117647058823529,1.781609195402299,0.3563218390804598
2,LOGIT_C1,LogisticRegression,"{""C"": 1.0}",0.8023819415593407,0.801149150582314,0.06933910434911825,15,0.7777777777777778,1.5197956577266925,0.08045977011494253,0.8823529411764706,1.7241379310344829,0.1724137931034483,0.9117647058823529,1.781609195402299,0.3563218390804598
3,LOGIT_C3,LogisticRegression,"{""C"": 3.0}",0.8012740617642986,0.8020124977614506,0.06889071759006314,15,0.7777777777777778,1.5197956577266925,0.08045977011494253,0.8823529411764706,1.7241379310344829,0.1724137931034483,0.9117647058823529,1.781609195402299,0.3563218390804598
4,RF_leaf2_mf0.7,RandomForest,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 160}",0.7976734524304112,0.8091991534285743,0.05583272006943139,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
5,RF_leaf5_mf0.7,RandomForest,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.797534967456031,0.8076143726667311,0.058972146154652,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9411764705882353,1.8390804597701151,0.367816091954023
6,RF_leaf5_mfsqrt,RandomForest,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.7954576928403267,0.8048472052694873,0.045943384928661395,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
7,RF_leaf1_mf0.7,RandomForest,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.7934496607118128,0.8063587854404645,0.061818289901782474,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
8,RF_leaf2_mfsqrt,RandomForest,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 160}",0.7899182938651157,0.8049313688901197,0.052136819449365886,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
9,RF_current_leaf2,RandomForest,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.7899182938651156,0.805623410412611,0.051058962367214605,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
10,RF_leaf1_mfsqrt,RandomForest,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.789156626506024,0.8133648547318643,0.04142030715165244,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
11,ET_leaf5_mf0.7,ExtraTrees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.7793934358122144,0.7963613636257507,0.044271672445763674,15,1.0,1.9540229885057472,0.10344827586206896,0.9411764705882353,1.8390804597701151,0.1839080459770115,0.9411764705882353,1.8390804597701151,0.367816091954023
12,ET_leaf5_mfsqrt,ExtraTrees,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.7778701010940313,0.7945752115354645,0.035863955376314524,15,1.0,1.9540229885057472,0.10344827586206896,0.9411764705882353,1.8390804597701151,0.1839080459770115,0.9117647058823529,1.781609195402299,0.3563218390804598
13,GBM_n140_lr0.1_d2,GradientBoosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 140}",0.7763467663758482,0.7851878489890691,0.053191886597495804,15,1.0,1.9540229885057472,0.10344827586206896,0.8823529411764706,1.7241379310344829,0.1724137931034483,0.9117647058823529,1.781609195402299,0.3563218390804598
14,GBM_n80_lr0.05_d3,GradientBoosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 80}",0.7751004016064258,0.7830137167664486,0.05124003719802135,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
15,GBM_n80_lr0.05_d2,GradientBoosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 80}",0.7737155518626229,0.776684124243995,0.049370773369482514,15,1.0,1.9540229885057472,0.10344827586206896,0.9411764705882353,1.8390804597701151,0.1839080459770115,0.9411764705882353,1.8390804597701151,0.367816091954023
16,GBM_n80_lr0.1_d2,GradientBoosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 80}",0.7723307021188202,0.7811303209680098,0.048681226643688805,15,1.0,1.9540229885057472,0.10344827586206896,0.8823529411764706,1.7241379310344829,0.1724137931034483,0.9117647058823529,1.781609195402299,0.3563218390804598
17,GBM_n140_lr0.05_d2,GradientBoosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 140}",0.771776762221299,0.7752007833775727,0.05473685753983239,15,1.0,1.9540229885057472,0.10344827586206896,0.9411764705882353,1.8390804597701151,0.1839080459770115,0.9117647058823529,1.781609195402299,0.3563218390804598
18,GBM_n140_lr0.05_d3,GradientBoosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 140}",0.7674837280155103,0.7760059201609011,0.046864744702126225,15,1.0,1.9540229885057472,0.10344827586206896,0.8823529411764706,1.7241379310344829,0.1724137931034483,0.9117647058823529,1.781609195402299,0.3563218390804598
19,ET_leaf2_mf0.7,ExtraTrees,"{""max_features"": 0.7, ""min_samples_leaf"": 2, ""n_estimators"": 160}",0.7662373632460877,0.7863813509483697,0.06268362160898984,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
20,GBM_n80_lr0.1_d3,GradientBoosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 80}",0.7645755435535244,0.7691388704983678,0.05521472326908857,15,0.8888888888888888,1.7369093231162198,0.09195402298850575,0.9411764705882353,1.8390804597701151,0.1839080459770115,0.9117647058823529,1.781609195402299,0.3563218390804598
21,ET_leaf2_mfsqrt,ExtraTrees,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 160}",0.7634676637584822,0.7897453849293222,0.043815306665370334,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
22,GBM_n140_lr0.1_d3,GradientBoosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 140}",0.7584822046807921,0.7625305237670927,0.054283546438702625,15,0.8888888888888888,1.7369093231162198,0.09195402298850575,0.9411764705882353,1.8390804597701151,0.1839080459770115,0.8823529411764706,1.7241379310344829,0.3448275862068966
23,ET_leaf1_mf0.7,ExtraTrees,"{""max_features"": 0.7, ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.7578590222960808,0.7797114808995614,0.06972071714498189,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.9117647058823529,1.781609195402299,0.3563218390804598
24,ET_leaf1_mfsqrt,ExtraTrees,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 160}",0.7484420440382218,0.7818656104867633,0.04578654650343576,15,1.0,1.9540229885057472,0.10344827586206896,1.0,1.9540229885057472,0.19540229885057472,0.8823529411764706,1.7241379310344829,0.3448275862068966
