district,n_cafe,n_starbucks,lat,lon,share_C0,share_C1,share_C2,share_C3,share_C4,dominant_sigungu,dominant_persona,dominant_persona_name,persona_entropy,sb_core_share,weak_access_share,score,score_pct,has_starbucks,score_decile
8,6175,185,37.56419780089555,126.9734953257328,0.0,0.38008097165991905,0.2673684210526316,0.16890688259109313,0.1836437246963563,마포구,C1,C1 상업활성,0.8276114880126133,0.5489878542510122,0.1836437246963563,0.9953666666666664,100.0,1,D10
14,896,20,37.48740781549107,126.94097695055804,0.0,0.25558035714285715,0.5613839285714286,0.0,0.18303571428571427,관악구,C2,C2 주거생활,0.6111393008643765,0.25558035714285715,0.18303571428571427,0.994672222222222,99.41176470588236,1,D10
30,81,2,37.51240619851852,126.94269782592593,0.0,0.24691358024691357,0.5925925925925926,0.0,0.16049382716049382,동작구,C2,C2 주거생활,0.58968325765349,0.24691358024691357,0.16049382716049382,0.9932682539682536,98.82352941176472,1,D10
62,542,12,37.5363960801107,127.13318109428043,0.0,0.2564575645756458,0.5202952029520295,0.0,0.22324723247232472,강동구,C2,C2 주거생활,0.6360473273598292,0.2564575645756458,0.22324723247232472,0.9925357142857144,98.23529411764706,1,D10
54,646,19,37.52330345952012,126.89795807941177,0.0,0.35294117647058826,0.45975232198142413,0.0,0.1873065015479876,영등포구,C2,C2 주거생활,0.6453001642392086,0.35294117647058826,0.1873065015479876,0.9886666666666666,97.6470588235294,1,D10
17,1161,28,37.54559293913006,127.06953970353145,0.0,0.3970714900947459,0.3161068044788975,0.0,0.2868217054263566,광진구,C1,C1 상업활성,0.6766418732850631,0.3970714900947459,0.2868217054263566,0.9868666666666666,97.05882352941175,1,D10
11,850,26,37.55353661761177,126.838925288,0.0,0.2752941176470588,0.4376470588235294,0.0,0.28705882352941176,강서구,C2,C2 주거생활,0.6679483550983983,0.2752941176470588,0.28705882352941176,0.9849730158730158,96.47058823529412,1,D10
16,424,16,37.484161068632076,126.98478383254718,0.0,0.3608490566037736,0.43160377358490565,0.0,0.20754716981132076,서초구,C2,C2 주거생활,0.6566343458715221,0.3608490566037736,0.20754716981132076,0.9796166666666668,95.88235294117648,1,D10
23,202,6,37.657237731633664,127.06614127673268,0.0,0.42574257425742573,0.30198019801980197,0.0,0.2722772277227723,노원구,C1,C1 상업활성,0.6706405576411312,0.42574257425742573,0.2722772277227723,0.9676333333333332,95.2941176470588,1,D10
52,125,2,37.52269458368,126.85879184400001,0.0,0.0,0.808,0.0,0.192,양천구,C2,C2 주거생활,0.3039011449208575,0.0,0.192,0.956481746031746,94.70588235294116,1,D10
24,455,9,37.60846063925275,127.08145049714285,0.0,0.1010989010989011,0.6329670329670329,0.0,0.26593406593406593,중랑구,C2,C2 주거생활,0.5426705822179361,0.1010989010989011,0.26593406593406593,0.9550242063492064,94.11764705882352,1,D10
46,1190,37,37.50038825657983,127.11465225084034,0.0,0.3302521008403361,0.49831932773109244,0.0,0.17142857142857143,송파구,C2,C2 주거생활,0.6308425508994653,0.3302521008403361,0.17142857142857143,0.954933597883598,93.52941176470588,1,D10
15,1111,26,37.48168388235824,126.89507146552656,0.0,0.3159315931593159,0.2376237623762376,0.021602160216021602,0.42484248424842486,금천구,C4,C4 비역세권,0.7157972181254877,0.33753375337533753,0.42484248424842486,0.9538579365079364,92.94117647058825,1,D10
33,649,15,37.60038060647149,126.92026925146381,0.0,0.15562403697996918,0.4591679506933744,0.0,0.3852080123266564,은평구,C2,C2 주거생활,0.6302668133210239,0.15562403697996918,0.3852080123266564,0.9503342592592592,92.3529411764706,1,D10
9,43,1,37.62460367697675,127.02706083255815,0.0,0.0,0.813953488372093,0.0,0.18604651162790697,강북구,C2,C2 주거생활,0.29851372953989425,0.0,0.18604651162790697,0.9434186507936512,91.76470588235294,1,D10
7,308,4,37.64044827,127.02294513474025,0.0,0.31493506493506496,0.37662337662337664,0.0,0.30844155844155846,강북구,C2,C2 주거생활,0.680016794179849,0.31493506493506496,0.30844155844155846,0.9293111111111112,91.17647058823528,1,D10
77,160,6,37.561649604625,127.03608736562501,0.0,0.39375,0.58125,0.0,0.025,성동구,C2,C2 주거생활,0.4812759139756809,0.39375,0.025,0.9289444444444448,90.58823529411764,1,D10
146,6,0,37.498894330000006,127.0482094,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,강남구,C4,C4 비역세권,0.39548848910372325,0.3333333333333333,0.6666666666666666,0.9218925925925928,90.0,0,D9
29,66,2,37.64758058651515,127.03545681363636,0.0,0.0,0.8484848484848485,0.0,0.15151515151515152,도봉구,C2,C2 주거생활,0.264271327329427,0.0,0.15151515151515152,0.9218396825396824,89.41176470588236,1,D9
51,138,8,37.52453754362318,126.87328910507247,0.0,0.34782608695652173,0.18840579710144928,0.0,0.463768115942029,양천구,C4,C4 비역세권,0.645037208592033,0.34782608695652173,0.463768115942029,0.921407142857143,88.8235294117647,1,D9
81,127,2,37.583750203622046,127.08994046456692,0.0,0.0,0.6850393700787402,0.0,0.31496062992125984,중랑구,C2,C2 주거생활,0.3870993721729634,0.0,0.31496062992125984,0.9196996031746032,88.23529411764706,1,D9
74,156,2,37.57001010166667,127.06862394935898,0.0,0.0,0.26282051282051283,0.0,0.7371794871794872,동대문구,C4,C4 비역세권,0.3578805089305799,0.0,0.7371794871794872,0.9166626984126984,87.6470588235294,1,D9
55,219,17,37.52238347392694,126.92776954703197,1.0,0.0,0.0,0.0,0.0,영등포구,C0,C0 오피스고소득,-0.0,1.0,0.0,0.9145056878306876,87.05882352941177,1,D9
154,10,0,37.51131078,127.0981427,0.0,1.0,0.0,0.0,0.0,송파구,C1,C1 상업활성,-0.0,1.0,0.0,0.9125543650793648,86.47058823529412,0,D9
63,63,2,37.55020334301587,127.12767325079366,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,강동구,C2,C2 주거생활,0.2548195957855576,0.0,0.14285714285714285,0.905485582010582,85.88235294117646,1,D9
56,105,6,37.528845787142856,126.92083810476191,1.0,0.0,0.0,0.0,0.0,영등포구,C0,C0 오피스고소득,-0.0,1.0,0.0,0.8963810846560845,85.29411764705883,1,D9
37,325,11,37.48879842981538,127.01321572461539,0.0,0.6738461538461539,0.08307692307692308,0.033846153846153845,0.20923076923076922,서초구,C1,C1 상업활성,0.5682739025193158,0.7076923076923077,0.20923076923076922,0.894711507936508,84.70588235294117,1,D9
84,44,0,37.676223191136366,127.05562609318181,0.0,0.0,0.7954545454545454,0.0,0.20454545454545456,노원구,C2,C2 주거생활,0.3147928565057733,0.0,0.20454545454545456,0.8893007936507936,84.11764705882354,0,D9
73,294,6,37.598388326190474,127.05806480986395,0.0,0.11564625850340136,0.5170068027210885,0.0,0.3673469387755102,동대문구,C2,C2 주거생활,0.5955013117085244,0.11564625850340136,0.3673469387755102,0.8884075396825398,83.52941176470588,1,D9
12,233,5,37.543598617682406,126.86747351759657,0.0,0.0,0.4678111587982833,0.0,0.5321888412017167,양천구,C4,C4 비역세권,0.42938811025254003,0.0,0.5321888412017167,0.887710582010582,82.94117647058825,1,D9
32,176,6,37.579196866875,126.89143354431818,0.0,0.3181818181818182,0.25,0.0,0.4318181818181818,마포구,C4,C4 비역세권,0.6670362749276627,0.3181818181818182,0.4318181818181818,0.8539126984126982,82.35294117647058,1,D9
28,183,5,37.660984861967215,127.04213760765028,0.0,0.0,0.5245901639344263,0.0,0.47540983606557374,도봉구,C2,C2 주거생활,0.42992484202483844,0.0,0.47540983606557374,0.8456869047619048,81.76470588235294,1,D9
80,43,1,37.60609402651163,127.09712832790697,0.0,0.0,0.046511627906976744,0.0,0.9534883720930233,중랑구,C4,C4 비역세권,0.1168811334449512,0.0,0.9534883720930233,0.8439148148148147,81.17647058823529,1,D9
0,2465,114,37.5049352358783,127.03865515549695,0.19026369168357,0.46206896551724136,0.09858012170385395,0.0997971602434077,0.14929006085192698,강남구,C1,C1 상업활성,0.879047012843388,0.752129817444219,0.14929006085192698,0.8357075396825396,80.58823529411765,1,D9
36,91,6,37.50435144362637,127.00518985274725,0.0,0.6923076923076923,0.1978021978021978,0.0,0.10989010989010989,서초구,C1,C1 상업활성,0.5081166808444018,0.6923076923076923,0.10989010989010989,0.8325809523809524,80.0,1,D8
26,60,1,37.64927438516667,127.07891253,0.0,0.0,0.0,0.0,1.0,노원구,C4,C4 비역세권,-0.0,0.0,1.0,0.8283816137566139,79.41176470588235,1,D8
75,63,1,37.56994322365079,127.05614333174603,0.0,0.0,0.49206349206349204,0.0,0.5079365079365079,동대문구,C4,C4 비역세권,0.43059828129985417,0.0,0.5079365079365079,0.8023599206349207,78.82352941176471,1,D8
44,30,2,37.604050742000005,127.02340324666667,0.0,0.0,0.9666666666666667,0.0,0.03333333333333333,성북구,C2,C2 주거생활,0.09080483619746209,0.0,0.03333333333333333,0.7833119047619047,78.23529411764706,1,D8
31,54,1,37.50729699944444,126.96107169074074,0.0,0.0,0.8518518518518519,0.0,0.14814814814814814,동작구,C2,C2 주거생활,0.2606396718167013,0.0,0.14814814814814814,0.777875,77.64705882352942,1,D8
100,16,0,37.489700384375,126.88466160625,0.0,0.0,0.5,0.0,0.5,구로구,C2,C2 주거생활,0.43067655807339306,0.0,0.5,0.7485043650793649,77.05882352941177,0,D8
136,22,0,37.50392206227273,126.8764776,0.0,0.0,0.3181818181818182,0.0,0.6818181818181818,구로구,C4,C4 비역세권,0.38863963306269156,0.0,0.6818181818181818,0.7378682539682538,76.47058823529412,0,D8
27,30,1,37.62072785833333,127.05897861,0.0,0.0,0.6,0.0,0.4,노원구,C2,C2 주거생활,0.4181656600790517,0.0,0.4,0.7368706349206349,75.88235294117646,1,D8
71,79,1,37.49115763670886,126.85551678101265,0.0,0.0,0.35443037974683544,0.0,0.6455696202531646,구로구,C4,C4 비역세권,0.4039585229657782,0.0,0.6455696202531646,0.7236380952380951,75.29411764705883,1,D8
162,4,0,37.6540107875,126.93986240000001,0.0,0.0,0.0,0.0,1.0,은평구,C4,C4 비역세권,-0.0,0.0,1.0,0.7202115079365079,74.70588235294117,0,D8
6,40,1,37.6184780035,127.0178031175,0.0,0.0,0.8,0.0,0.2,강북구,C2,C2 주거생활,0.31091750708257115,0.0,0.2,0.7162349206349206,74.11764705882354,1,D8
2,36,2,37.487155809166666,127.1024155638889,0.0,0.0,0.9444444444444444,0.0,0.05555555555555555,강남구,C2,C2 주거생활,0.13331309864069726,0.0,0.05555555555555555,0.7111821428571429,73.52941176470588,1,D8
65,29,1,37.55350193275862,127.1555461586207,0.0,0.0,0.9655172413793104,0.0,0.034482758620689655,강동구,C2,C2 주거생활,0.09319708604575119,0.0,0.034482758620689655,0.7021158730158731,72.94117647058823,1,D8
158,7,1,37.650277537142856,126.9354085,0.0,0.0,0.0,0.0,1.0,은평구,C4,C4 비역세권,-0.0,0.0,1.0,0.6781234126984125,72.35294117647058,1,D8
78,17,1,37.55406011941176,127.02055589411763,0.0,0.0,1.0,0.0,0.0,성동구,C2,C2 주거생활,-0.0,0.0,0.0,0.6764623015873015,71.76470588235294,1,D8
72,7,1,37.56877286142857,127.05165494285714,0.0,0.0,1.0,0.0,0.0,동대문구,C2,C2 주거생활,-0.0,0.0,0.0,0.6738662698412697,71.17647058823529,1,D8
94,19,0,37.51960005894737,126.93839588421052,1.0,0.0,0.0,0.0,0.0,영등포구,C0,C0 오피스고소득,-0.0,1.0,0.0,0.673375468050468,70.58823529411765,0,D8
132,17,0,37.64068596529412,126.9374830235294,0.0,0.0,0.0,0.0,1.0,은평구,C4,C4 비역세권,-0.0,0.0,1.0,0.6610742063492064,70.0,0,D7
19,6,1,37.5424748,127.10051588333333,0.0,0.0,1.0,0.0,0.0,광진구,C2,C2 주거생활,-0.0,0.0,0.0,0.6463761904761908,69.41176470588235,1,D7
143,12,0,37.57240008666667,126.80693821666667,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,강서구,C2,C2 주거생활,0.17822121676154154,0.0,0.08333333333333333,0.644198148148148,68.82352941176471,0,D7
134,5,0,37.49421297,127.04973300000002,0.0,0.0,1.0,0.0,0.0,강남구,C2,C2 주거생활,-0.0,0.0,0.0,0.6373587301587302,68.23529411764706,0,D7
47,30,1,37.47838800566667,127.14243515666666,0.0,0.0,0.0,0.0,1.0,송파구,C4,C4 비역세권,-0.0,0.0,1.0,0.6333330687830687,67.64705882352942,1,D7
115,29,0,37.63977415103448,127.06818229655173,0.0,0.0,0.5172413793103449,0.0,0.4827586206896552,노원구,C2,C2 주거생활,0.43030708237344345,0.0,0.4827586206896552,0.625740343915344,67.05882352941175,0,D7
140,9,0,37.60890613888889,126.9583199111111,0.0,0.0,0.0,0.0,1.0,종로구,C4,C4 비역세권,-0.0,0.0,1.0,0.6235543650793652,66.47058823529412,0,D7
88,17,0,37.46429380235294,127.02056264705882,0.0,0.0,0.0,0.0,1.0,서초구,C4,C4 비역세권,-0.0,0.0,1.0,0.6184405363155362,65.88235294117646,0,D7
59,11,1,37.58091747636364,126.89947938181818,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,은평구,C2,C2 주거생활,0.1892810496109844,0.0,0.09090909090909091,0.6161108465608467,65.29411764705883,1,D7
13,119,4,37.56773201739495,126.81184906470588,0.0,0.0,0.865546218487395,0.0,0.13445378151260504,강서구,C2,C2 주거생활,0.24528209650167646,0.0,0.13445378151260504,0.6101920634920635,64.70588235294117,1,D7
57,17,1,37.63996002117648,126.9192788470588,0.0,0.0,0.7647058823529411,0.0,0.23529411764705882,은평구,C2,C2 주거생활,0.33899696891322245,0.0,0.23529411764705882,0.5981187830687831,64.11764705882354,1,D7
126,9,0,37.55602447,127.02524661111111,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,성동구,C2,C2 주거생활,0.3291249665273085,0.0,0.2222222222222222,0.5976203703703704,63.52941176470588,0,D7
22,12,2,37.62653662,127.06258991666668,0.0,0.0,1.0,0.0,0.0,노원구,C2,C2 주거생활,-0.0,0.0,0.0,0.5974974867724867,62.94117647058823,1,D7
39,7,2,37.51056857142857,127.00828709999999,0.0,0.0,1.0,0.0,0.0,서초구,C2,C2 주거생활,-0.0,0.0,0.0,0.5967246031746033,62.35294117647059,1,D7
58,18,1,37.63421982277778,126.9197994,0.0,0.0,0.7777777777777778,0.0,0.2222222222222222,은평구,C2,C2 주거생활,0.3291249665273085,0.0,0.2222222222222222,0.5904255291005291,61.76470588235294,1,D7
148,5,0,37.65824126,127.03296522000001,0.0,0.0,0.0,0.0,1.0,도봉구,C4,C4 비역세권,-0.0,0.0,1.0,0.5903579365079366,61.1764705882353,0,D7
83,6,0,37.557549816666665,127.04750773333332,0.0,0.0,1.0,0.0,0.0,성동구,C2,C2 주거생활,-0.0,0.0,0.0,0.5841514550264552,60.588235294117645,0,D7
18,44,1,37.54798235636363,127.10568815454545,0.0,0.0,0.7045454545454546,0.0,0.29545454545454547,광진구,C2,C2 주거생활,0.377127695836558,0.0,0.29545454545454547,0.5710103174603175,60.0,1,D6
48,15,1,37.51387926133334,127.09242166,0.0,0.0,0.0,0.0,1.0,송파구,C4,C4 비역세권,-0.0,0.0,1.0,0.5609623015873015,59.41176470588236,1,D6
76,62,2,37.54614257806452,127.01956727419355,0.0,0.0,0.6290322580645161,0.0,0.3709677419354839,성동구,C2,C2 주거생활,0.40975095466045175,0.0,0.3709677419354839,0.5575726190476191,58.82352941176471,1,D6
96,5,0,37.52033213,127.1155184,0.0,0.0,1.0,0.0,0.0,송파구,C2,C2 주거생활,-0.0,0.0,0.0,0.555586507936508,58.235294117647065,0,D6
68,11,1,37.57270246818182,127.17423574545455,0.0,0.0,0.0,0.0,1.0,강동구,C4,C4 비역세권,-0.0,0.0,1.0,0.5554043234543236,57.647058823529406,1,D6
97,6,0,37.51048887166667,126.88166535,0.0,0.0,0.5,0.0,0.5,구로구,C2,C2 주거생활,0.43067655807339306,0.0,0.5,0.552475,57.05882352941176,0,D6
50,25,3,37.53625236,126.88003377999999,0.0,0.0,0.0,0.0,1.0,양천구,C4,C4 비역세권,-0.0,0.0,1.0,0.5372314814814814,56.47058823529412,1,D6
138,5,2,37.507924442000004,127.01103728000001,0.0,0.0,1.0,0.0,0.0,서초구,C2,C2 주거생활,-0.0,0.0,0.0,0.5370817460317459,55.88235294117647,1,D6
85,5,0,37.618968968000004,127.06729341999998,0.0,0.0,0.6,0.0,0.4,노원구,C2,C2 주거생활,0.4181656600790517,0.0,0.4,0.5353769841269842,55.294117647058826,0,D6
